reviews,notes
"Je ne comprends pas les commentaires catastrophique concernant ce film.Je trouve que c est un film d aventure de bonne facture, c est pas le film du siècle mais ça se laisse regarder, jack black y est en forme et Jason momoa à un rôle assez drôle et cool Le film me.fait penser à jumanji, on découvre ce monde créé par le personnage de jack black si mal dans cette vie réelle et propulsé dans un monde vierge de toute création mais dans ce petit paradis un monde maléfique y est aussi présent régi par ûe reine qui veut s emparer du diamant Bref un très bon divertissement","4,0"
"Il y a des films qui, dès leur annonce, semblent déjà être un geste de production obsolète. Le problème avec Minecraft, réalisé par Jared Hess, avec Jack Black et Jason Momoa, c'est qu'il l'assume et prendra tout du long son spectateur pour un con. On croyait pourtant en avoir fini avec l’idée de transposer les jeux vidéo à l'écran, surtout en live-action. Mais non : Hollywood, encore une fois, a confondu popularité et récit, liberté et structure, terrain de jeu et scénarisation. Le résultat, visible dès les premières images, tient moins du film que du produit, englué dans les codes d’un cinéma familial sous perfusion algorithmique.Ce qui frappe d’abord, c’est ce refus du ""temps"". Là où le jeu Minecraft repose sur le silence, l’ouverture, l’absence de but, le film se précipite à combler. Il veut tout expliquer : ce qu’est un bloc, pourquoi creuser, où aller, qui affronter. Chaque minute de flottaison est comblée par un gag, un dialogue, une ligne directrice. L’univers, pourtant si poreux, devient uniquement décor. Le spectateur n’explore plus : il suit. Il consomme un monde.Et cette volonté de guider, d’encadrer, produit une double violence : sur le spectateur et sur l’univers vidéoludique lui-même. Car Minecraft, ce n’est pas seulement une esthétique faite de cubes et de textures réduites : c’est aussi une invitation à construire sans autorisation, à faire récit sans intrigue. Le film, lui, écrase tout sous le poids d’une narration balisée, faite de portails magiques et de personnages sans caractérisation consistante, de quêtes déjà vues et de méchants sans épaisseur. L’imaginaire devient pastiche, et le monde, pourtant infini, se referme sur quelques vannes et un scénario fatigué.Jack Black et Jason Momoa ne semblent jamais croire à ce monde qui les entoure, et pour cause : il est mal intégré. L’animation CGI (moche) et les prises de vues réelles cohabitent sans jamais fusionner. Ce que Minecraft, le film, trahit fondamentalement, c’est une idée du cinéma comme espace à ouvrir. Le film ne rêve pas, il valide des tableaux Excel. Et le spectateur, qu’il soit joueur ou non, le sent confusément.Que le jeu ait été mal compris n’est pas le problème. C’est plus que le film ne comprend rien à la fiction elle-même. Une occasion manquée.","0,5"
J’ai pleurer sur le poulet cuit à la lave………………………………………………………………………………………………………………………………………………………..,"2,0"
"Honnêtement, je ne sais toujours pas quoi penser de ce film. Est-ce un désastre complet ou une œuvre volontairement absurde et provocatrice ? C’est un de ces objets cinématographiques étranges qu’on regarde jusqu’au bout, fasciné et confus, sans jamais vraiment savoir si on assiste à un navet total… ou à une parodie géniale.Discussion post-séance avec ma mère : pour elle, c’est évident, le film est volontairement débile, une caricature consciente et assumée du genre. Moi, je suis plus sceptique. J’ai plutôt eu l’impression d’un film premier degré, qui croit réellement à ce qu’il raconte… ce qui rend le tout encore plus bizarre.On est face à des personnages dignes d’une cour de récré – ultra caricaturaux, criards, écrits avec la finesse d’un spectacle de marionnettes pour enfants de 4 ans. Les scènes d’émotion frôlent le ridicule, à tel point qu’on finit par en rire, presque gêné. La relation pseudo homosexuelle entre les deux adultes est traitée de manière tellement maladroite qu’on ne sait pas si c’est un hommage ou une moquerie. Les blagues, elles, flirtent régulièrement avec le bas de la ceinture, et les chansons absurdes surgissent sans prévenir, comme dans un rêve sous acide.Et pourtant… malgré tout ça, certains éléments fonctionnent. L’univers du jeu est étonnamment bien retranscrit : les décors, les mécaniques, même la petite musique emblématique sont là. On sent que les créateurs du film connaissent le jeu, en tout cas dans sa version ""bac à sable"". Les effets spéciaux sont réussis, et beaucoup des créations présentées semblent fidèles à ce qu’on peut vraiment faire dans le jeu. La première nuit est d’ailleurs une belle référence que tout joueur reconnaîtra immédiatement.Mais alors pourquoi ce ton moqueur ? Le film donne parfois l’impression de ridiculiser son propre public : les créatifs sont dépeints comme des marginaux, mal aimés, bizarres… Une satire qui tombe à plat, surtout quand le message final valorise prétendument l’imagination et la création… sans jamais les faire triompher. La fin est particulièrement frustrante : pourquoi ne pas avoir montré que le jeu créé était Minecraft ? Cela aurait donné un sens et une portée plus large au propos. Là, on a juste un film qui s’emmêle entre hommage et moquerie.Et pourtant, je ne me suis pas ennuyé. Le film est absurde, parfois consternant, mais il ne laisse pas indifférent. On rit, parfois malgré soi. 
spoiler: 
Mention spéciale aux expressions culinaires de la grande méchante parlant de ses troupes qui sont des cochons en les disant – « Allez, mes petits lardons ! » – une réplique aussi débile qu’étrangement drôle (de l'humour noir comme je l'aime).
Je me pose aussi la question à qui est destiné le film, les blagues pour adultes omniprésente et les références à l'époque des salles d'arcane fait pencher pour un film à destination des adultes mais Minecraft, le scénario débile pour gamin fait pencher plutôt pour un film pour enfant très jeune. Le film ne sait pas à qui s'adresser et s'adresse donc à personne.Conclusion : un film profondément stupide, avec des personnages ridicules, un message flou, et une tendance à tirer dans les pattes de sa propre communauté de joueurs. Mais c’est aussi un film étrange, unique, qui mérite presque d’être vu… pour être cru. À réserver aux fans du jeu d’origine, qui sauront y repérer tous les easter eggs. Les autres risquent de passer un très mauvais moment… ou un moment qu’ils n’oublieront jamais.","2,0"
"Je ne suis pas dans la cible du film.De mon point de vue, le film est mal conçu et c est pénible à regarder.Pourtant nos ados de 13 et 15 ans ont passé un bon moment sans forcément adorer, ils avaient toutes les références. Film générationnel potentiellement un calvaire pour les accompagnateurs.","1,0"
"J ai passé un très bon moment.Un plaisir pour les joueurs de minecraft avec plein de petits détails qui nous rappelle bien le jeu.Je trouve les critiques sévères mais eventuellement compréhensible pour ceux qui ne sont pas fan du jeu.Bien attendre la fin du générique, nous avons une petite surprise...","5,0"
"Minecraft, l’un des jeux les plus populaires de tous les temps, réduit à ça… Il y avait tellement moyen d’en faire un long film très fidèle au jeu, riche en références, intrigues et sous intrigues qui explorent le jeu en profondeur, c’était vraiment le moment pour lâcher tout le fan-service qu’on sait si bien faire de nos jours… 
spoiler: 
 La fameuse référence à Technoblade est à peu près 
 la seule véritable référence du film, qui de plus n’est fidèle au jeu que dans la retranscription des designs (et encore regardez Steve !). Quant aux effets spéciaux ils sont d’une laideur !Mais si au moins c’était drôle comme promis !! La sorcière (qui n’existe pas dans le jeu) et surtout le villageois sont drôles, et c’est tout ! Les personnages principaux sont tout juste désopilants de par leur ridicule. Toutes leurs blagues bides, même Jason Momoa est insupportable. 
spoiler: 
Et allez qu’ils te placent le coup du salaud qui change et finit par se sacrifier, mais il survit. 
 Et premier degré. Et vas-y qu’ils se jettent dans tous les sens et disent n’importe quoi. Dans le cinéma, même les enfants ne riaient pas. Et vas-y que tout est incohérent et impossible (exemple : le jeune qui pousse Momoa et celui-ci tombe en avant dans un pop ultra mal fait). En guise de BO, une seule réutilisation de la BO de minecraft, juste le thème principal (vous savez ces notes de piano hésitantes et bien relaxantes). Ajoutées à ça de très bonnes chansons de rock et des chansons stupides chantées par les personnages, à n’en plus finir.Quel potentiel énorme gâché, rien à sauver, une nouvelle référence du nanar.","1,0"
"Film fourre toute . Énormément de référence à la pop culture. Quelques passage drole' , mais globalement c'est très creux","2,0"
"Je vais être honnête je m'attendais à pire, alors c'est pas bon pour autant mais c'est pas aussi catastrophique que ce à quoi je m'attendais. Niveau histoire j'ai pas compris pourquoi ils nous ont fait un remake de Jumanji au lieu de faire juste un film dans minecraft à la source. Les personnages sont pas très développé, on essaie d'installer un background pour chaque perso mais bon c'est un peu osef. Le point fort du film c'est le design des créatures ect ça c'est style. Certains font verts Sont à vomir par contre. C'est pas nul mais c'est pas bon pour autant mais pour l'effort je met 3.","3,0"
Drôle et fidèle au jeu vidéo.Humour plutôt pour adolescents et adultes .Divertissant la plupart du temps .,"3,5"
"Même si je n’ai jamais joué a ce jeu vidéo d’origine.C’est pas mal , assez bon humour de Jack et Jason Momoa.","3,0"
"Déçu. Dans la technique, donc tout ce qui est décor et musique, c’est super. Mais l’histoire n’a aucune profondeur et est beaucoup trop enfantine pour les joueurs Minecraft de première génération. C’est surtout destiné à la génération Fortnite.Je suis tanné des films où les personnages ne se posent aucunes questions. Il y a un portail magique. Normal. Tout est carré, normal. Le concept d’inventaire n’est même pas développé donc ils font juste faire apparaître des trucs comme ça.Bref, film moyen.","2,0"
"je suis amateur de film de tout genres et je trouve la notation sévére. le film a un partie pris, avec des personnages cartoonesques, mais ca tient la route. les images restent sympa, on passe un bon moment.alors petit plus je l ai vu en famille en 4DX et c etait vraiment tres tres drole. ca a beaucoup bougé.","3,5"
Je suis allé le voir sans trop m'attendre à grand chose mais au finale j'ai passé un bon moment. C'est un film d'aventure simple et quand même efficace bien que les plus jeunes en profiterons bien plus. La musique est classe. Je vous le conseil.,"3,5"
on retrouve la créativité du jeu et l'esprit un peu loufoque. Jack Black amène beaucoup au film mais il ne faut pas s'attendre à un chef d'oeuvre. On y va pour passer un moment no brain et ça fait le job,"4,0"
"Très très très basique sur sa structure, c'est le film hollywoodien typique du moment avec les mêmes codes réutilisé en boucle que je vais pas citer tellement ils sont évident. Le film est vraiment wtf, et le sait donc ça va, il est conscient que c'est pas sérieux, ce qui rend le tout plus digerable. Après pour le coup l'univers est respecté, il y a une vraie connaissance de l'univers, avec pleins de ref qui servent pas à grand chose en soi. Je trouve que l'aspect de construction et de créativité est pas assez mis en avant, pourtant c'est un des sujets du film, on a pas d'aperçu de la ville de Steve c'est dommage. Niveau visuel je trouve que c'est pas mal globalement, c'est pas parfait mais on a connu pire, ça rend assez bien sauf dans certains cas où c'est assez gros. L'histoire tiens sur 1 doigt n'attendez rien de la. Bref un film bien basique auxquels on colle l'étiquette minecraft, ce qui est dommage, mais bon après ça passe, c'est coloré et rigolo, mais bon il sera vite oublié.","3,0"
grotesque et ridicule à tous les niveaux... le pire film de la décennie avec des acteurs totalement indigents...,"0,5"
"vu la bande annonce et les critiques négatives de la part de la communauté Minecraft, ça m'étonnerai qu'il soit bien, franchement j'aurai aimé un film minecraft avec des perso cubiques pas avec des vrais acteurs qu'est ce que c'est nul.","3,0"
"Mon fieul de 7 ans a passé un bon moment, ce n'est pas une claque incroyable, il faut le prendre comme un film pour jeunes enfants.","2,5"
"Pour commencer beaucoup critiquent ce film avec leur regard d'adulte alors  que le publique visé c'est les jeunes voir très jeunes . Donc si l'on part de cette base,  il s'agit d'un bon film pour jeunes avec des effets spéciaux qui tiennent à peu prêt la route , pleins de clins d'œil à  l'univers,  avec des acteurs que l'on aime voir dans ces rôles.  Alors oui , ce n'est pas le film de l'année,  ce n'est pas hyper bien joué,  les effets ne sont pas dignes d'un gros film hollywoodien mais ça fait le taff: ça distrait bien nos ados et plus jeunes . Peut être que les plus déçus devrait tout simplement grandir et abandonner le fait d'être dans des trucs d'ados en tant que adulte .","3,0"
"Les effets spéciaux sont pas si mal dans l’ensemble, même si y a des moments où ça pique un peu.Jack Black porte vraiment tout le film, son humour marche bien et il est à fond comme d’hab.Mais à part ça, y a pas grand-chose à retenir, l’univers est pas super bien exploité et on s’ennuie vite.","2,0"
"Bon, je ne connais rien à l'univers de Minecraft, j'ai jamais joué au jeu, j'ai juste regardé vite fait quelque Let's Play à une époque. Donc je ne pourrais pas vraiment juger le film en tant qu'adaptation pertinente ou non, et je ne pourrais pas non plus me prononcer sur les multiples références au jeu, sans doute amusantes pour une personne jouant au jeu mais pas vraiment accessible aux néophytes.Pour être honnête, ce qui me faisait le plus peur est finalement, ce que j'ai trouvé le plus réussi. C'était très casse-g**le de retranscrire le monde de Minecraft en image de synthèse avec un rendu réaliste, mais finalement, ça rend assez bien. L'univers est riche, assez beau visuellement, facilement compréhensible pour un néophyte, avec une multiplicités de décors assez dingue et le rendu cubique des créatures et objet fonctionne parfaitement. La réalisation est d'ailleurs assez correct et propre ayant de temps à autre, une bonne idée de mise en scène par rapport au monde cubique.Le film a aussi pour mérite d'être globalement divertissant, on ne s'ennuie pas (ce qui le rend déjà supérieur au live action de Blanche-Neige par exemple), les scènes d'action sont surprenament cools et la BO est assez agréable.Mais si sur la forme, le film fonctionne assez bien, le fond est plutôt raté. Déjà, les 5 personnages principaux sont ultra basiques, pas vraiment attachants et n'ont quasi aucune alchimie, ayant entre eux une dynamique des plus clichés. Il n'y a qu'entre Steve et Garett qu'on a une dynamique qui sort vraiment du lot, mais ça vient surtout de l'excellente alchimie entre Jack Black et Jason Momoa. Mais surtout, le groupe des personnages aurait franchement dû se limiter à Steve, Garett et Henry, tant Natalie et Dawn n'apportent rien, malgré le talent d'Emma Myers et Danielle Brooks. Ce qui me dérange, c'est surtout que les interactions entre les personnages sont trop familières alors que certains viennent un peu de se connaître, surtout qu'à un moment, 
spoiler: 
Henry se sent trahi par Garett mais il vient juste de faire sa rencontre le jour même, donc cette dispute paraît méga fake et n'a pas grand sens.
 Sinon le scénario est assez pauvre ! Il s'agit d'une quête au McGuffin assez basique, entrecoupé de péripéties plus ou moins palpitantes et de gags souvent pas très inspiré. Les enjeux personnels des héros sont assez vagues, n'apportent pas grand-chose au scénario global et sont même un peu caduque 
spoiler: 
(par exemple, Steve qui veut sauver Dennis alors qu'on sait en tant que spectateur qu'il est libre).
 Même si le climax est sympatoche, on ne prend jamais les Piglins au sérieux et je pensais sérieusement que le film allait présenter une plus grosse menace avant la fin, mais non.Mais ce qui m'a vraiment gonflé, ce sont les scènes dans le monde réel ! Outre de l'exposition assez longuette pour nous expliquer la situation des personnages, sans que cela soit véritablement intéressant, il y a un côté beaucoup trop… exagéré ! Dans n'importe quel film, il y aurait un contraste entre le monde réel et le monde imaginaire, mais là, le monde réel paraît méga fantaisiste, en particulier concernant les scènes avec Jennifer Coolidge. D'ailleurs, les scènes avec cette dernière sont vraiment du remplissage malaisant et pas drôles. De ce fait, les scènes dans le monde réel m'ont paradoxalement fait totalement sortir du film par leur côté… irréelles !","2,0"
"Encore une adaptation où le gaming passe de vie à trépas en arrivant dans les salles de cinéma.et ici pour faire très simple c'est catastrophique voir complètement nul Les acteurs, Jack Black et Jason Momoa en tête, sont en totale roue libre, ils passent leur temps à hurler et à brailler pendant la durée du métrage qu'ils en deviennent insupportables.On en envie de leur mettre des claques pour que ça s'arrêteLe monde de Minecraft est clairement affreux qu'il ne méritait certainement pas un passage sur grand écran à coup de 150 millions de dollars fournis grassement par Warner Bros.Le studio signe là une des ses pires entreprises car c'est une véritable souffrance pour venir à bout du film. Et pourtant il ne dure que 1h41 mais il est tellement raté qu'on subit purement la séance.Je crois qu'il n'y a rien à sauver et je ne suis même pas sûr que cela plaira aux plus jeunes ou aux adeptes du jeu vidéo.Ça sent clairement le naufrage.","0,5"
"Je connais très très peu l'univers du jeu vidéo donc j'ai regardé comme une aventure familiale lambda et oui c'est pas terrible du tout. Je peux comprendre ceux qui ont aimé pour le côté divertissement, parce que j'ai adoré ce côté là et évidemment je peux comprends ceux qui ont détesté parce que niveau scénario c'est vide, ridicule, prévisible, incohérent. Je suis très bon public mais l'humour est trop gamin et n'est pas assez dosé. Minecraft manque de musiques saisissantes, les personnages n'ont aucune profondeur, des effets spéciaux qui manquent de budget et visuellement, la photographie est catastrophique. Mise à part le casting que j'ai beaucoup aimé et quelques moments de combats appréciés, bah tout le reste est nul et c'est pas une surprise.","2,0"
"Je l'ai regardé uniquement du fait que c'est un énorme succès (malheureusement) et que c'est l'adaptation du jeu vidéo le plus vendu de l'histoire car sur le papier, un long-métrage Minecraft en live-action parait bien moisi et en plus en voyant la bande-annonce est selon moi catastrophique.Au final, ce n'est pas aussi nul que ce à quoi je m'attendais mais ça reste quand même mauvais. En point positive, je mettrais le visuel qui à certain moment c'est vraiment pas mal et je n'ai jamais trouvé u seul instant où c'était vraiment raté. Par contre le plus gros défaut, reste le casting et le comportement des humains, surtout Jason Momoa et Jack Black qui plombent énormément le film en ne faisant que les clowns en permanence et qui je pense sans ça, il aurait pu être un bon divertissement. Le délire du villageois au début qui va dans le monde réel et où lequel aucun humain semble se poser de question le concernant ce qui est totalement illogique.","1,5"
"le film n'est pas nul mais n'est pas incroyable non plus , une histoire aussi nul que ces personnages , mais on ne s'ennuye pas","2,5"
"comme tout le monde j'ai lu les critiques et je ne voulais pas enmener mes enfants 11 ans et 13 ans. mais finalement ils ont voulu aller le voir et c'est pas si mauvais que les notes qu'on trouve. c'est pas le film du siècle mais ça respect l'univers Minecraft et ça se laisse regarder donc si vos enfants ont joué à Minecraft allez y, ils seront content.","3,0"
"Film très cool, même si vachement goofy, le voir en salle était vraiment une expérience surprenante. Des effets visuels magnifiques, quelques blagues plutôt drôle et un public en salle complètement à fond. Ils ne va clairement pas plaire à toutes les générations mais ça n'empêche pas de passer un bon moment devant celui-ci.","4,5"
Beau mais creux ! Trop de blagues à la chaine sans réel intérêt. Le casting est bon mais mal exploité.,"1,0"
"Jouant avec mon fils depuis des années à Minecraft, le film est très amusant, total délire, pleins de refs au,jeu, les acteurs en free-style, allez le voir en posant le cerveau dehors","4,0"
"Note : 3,5/5Alors oui, en voyant les premières images, je me suis dit que ça allait être un désastre. Et pourtant… j’ai passé un super moment !En tant que joueur de Minecraft, j’avais un peu peur qu’on trahisse l’univers du jeu ou que ce soit juste un prétexte à faire n’importe quoi. Finalement, j’ai été agréablement surpris : les effets spéciaux sont réussis, l’univers est respecté, et j’ai retrouvé cette petite magie qu’on ressent en explorant une map inconnue.Les personnages principaux sont attachants (même si honnêtement, les filles et le garçon… j’ai pas trop compris à quoi ils servaient exactement). On sent que le film vise un public jeune, mais les adultes qui ont déjà passé des heures sur le jeu y trouveront aussi leur compte.","3,5"
"Je suis je pense un peu différente des gens qui vont voir le film en général. J'ai juste suivi mon copain qui voulait aller voir ce film sans n'avoir jamais joué à ce jeu. Et honnêtement j'ai passé un super moment. Je n'avais aucun attendu et j'ai été agréablement surprise. C'était drôle, bien dirigé et grave intéressant.","3,5"
"Je ne m'attendais à rien, et j'ai quand même réussi à être déçu. Comment peut-on diffuser de tels navets en 2025 ? Je n'ai pas les mots, tout est mauvais, de la première à la dernière minute. Les réalisateurs auraient pu faire un bel hommage à ce jeu si créatif et cher aux yeux de millions de joueurs (un peu comme Super Mario Bros), mais ils ont préféré tout miser sur l'humour d'une lourdeur abérante et sur des acteurs complètement perdus. J'aurais aimé la mention ""film interdit aux plus de 10 ans"", ça m'aurait éviter de gaspiller 2 heures de mon temps précieux à me farcir cette purge cinématographique.","0,5"
